City,Car_Name,Price,KMS,Fuel,Transmission,Location,Emi
Bangalore,2024 Maruti FronxAlpha 1.0L Turbo 6 AT Dual Tone,12.82 Lakh,17.5K km,petrol,automatic,Yelahanka,"EMI ₹22,047/m*"
Bangalore,2020 Renault TriberRXT,4.90 Lakh₹4.92 Lakh,101.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹8,378/m*"
Bangalore,2020 Jaguar XF2.0L Diesel Prestige,32 Lakh,49K km,diesel,automatic,Yelahanka,"EMI ₹55,036/m*"
Bangalore,2016 Hyundai Elite i20Asta 1.4 CRDI (O),6.46 Lakh,61.5K km,diesel,manual,Mysore Road,"EMI ₹11,001/m*"
Bangalore,2011 Maruti EstiloVXi BS-IV,2.25 Lakh,71K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹16,077/m*"
Bangalore,2015 Hyundai Elite i20Asta 1.4 CRDI,5.42 Lakh,82.5K km,diesel,manual,Mysore Road,"EMI ₹9,865/m*"
Bangalore,2021 Jeep CompassModel S (O) 1.4 Petrol DCT,19.89 Lakh₹20.50 Lakh,12.5K km,petrol,automatic,Yelahanka,"EMI ₹35,256/m*"
Bangalore,2018 Tata NexonXZA Plus Dual Tone Roof AMT Diesel,7.70 Lakh,82.5K km,diesel,automatic,"Nexus Mall, Whitefield Road","EMI ₹13,112/m*"
Bangalore,2018 Mercedes GLC220d 4MATIC Style,32.50 Lakh,43.5K km,diesel,automatic,Yelahanka,"EMI ₹55,896/m*"
Bangalore,2022 Tata AltrozXM Plus Petrol,6.64 Lakh,17K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹11,307/m*"
Bangalore,2017 Renault Kwid1.0 RXT AMT,3.82 Lakh,33K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹6,505/m*"
Bangalore,2017 Maruti CiazZXI+,5.29 Lakh,92.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹9,008/m*"
Bangalore,2014 Nissan MicraXV CVT,3.88 Lakh,79K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹7,806/m*"
Bangalore,2020 Hyundai Elite i20Sportz Plus 1.2,6.42 Lakh,45K km,petrol,manual,Mysore Road,"EMI ₹10,932/m*"
Bangalore,2016 Hyundai Elite i20Asta 1.2,5.32 Lakh,70K km,petrol,manual,Mysore Road,"EMI ₹9,683/m*"
Bangalore,2017 Datsun GOT,3.05 Lakh,31K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹6,545/m*"
Bangalore,2013 Hyundai EonD-Lite +,1.77 Lakh,84K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹4,472/m*"
Bangalore,2022 Jeep CompassLimited (O) 2.0 Diesel 4x4 AT,23.09 Lakh₹23.50 Lakh,48.5K km,diesel,automatic,Yelahanka,"EMI ₹40,416/m*"
Bangalore,2023 Hyundai Grand i10 NiosAsta AMT 1.2 Kappa VTVT,7.93 Lakh,23.5K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹13,504/m*"
Bangalore,2021 Renault KigerRXZ Turbo CVT,8.33 Lakh,38.5K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹14,185/m*"
Bangalore,2023 Mahindra Scorpio NZ8 L Petrol AT 7 STR,20.82 Lakh,25K km,petrol,automatic,Yelahanka,"EMI ₹35,808/m*"
Bangalore,2015 Hyundai VernaFluidic 1.6 VTVT SX,4.96 Lakh,59.5K km,petrol,manual,Yelahanka,"EMI ₹10,645/m*"
Bangalore,2011 Maruti Alto K10VXi,2.42 Lakh,49K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹17,291/m*"
Bangalore,2019 Hyundai Elite i20Sportz Plus 1.2,6.56 Lakh,26.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹11,171/m*"
Bangalore,2020 Kia SeltosGTX Plus 1.4,10.78 Lakh₹10.85 Lakh,113.5K km,petrol,manual,Yelahanka,"EMI ₹18,659/m*"
Bangalore,2015 Maruti CelerioZXi AMT,3.88 Lakh,39K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹7,062/m*"
Bangalore,2018 Mercedes E-ClassE200 Expression,35 Lakh,35.5K km,petrol,automatic,Bellandur,"EMI ₹60,196/m*"
Bangalore,2017 Mercedes C-ClassEdition C,24.50 Lakh,44K km,diesel,automatic,Bellandur,"EMI ₹42,136/m*"
Bangalore,2014 Volkswagen PoloHighline1.5L (D),4.29 Lakh,114K km,diesel,manual,Mysore Road,"EMI ₹8,631/m*"
Bangalore,2014 Maruti CelerioVXi AMT,3.46 Lakh,50K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹7,425/m*"
Bangalore,2021 Kia SeltosGTX Plus DCT 1.4,12.82 Lakh,71.5K km,petrol,automatic,Yelahanka,"EMI ₹22,048/m*"
Bangalore,2016 Renault KwidRXT,3.08 Lakh,59K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹5,245/m*"
Bangalore,2020 Renault KwidRXT 1.0 AMT Opt,4.04 Lakh₹4.12 Lakh,35.5K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹7,016/m*"
