Brand,Model and Variant,Year,City,KMS,Fuel,Transmission,Price,Emi
Maruti,FronxAlpha 1.0L Turbo 6 AT Dual Tone,2024,Bangalore,17500.0,petrol,automatic,1282000.0,22047
Renault,TriberRXT,2020,Bangalore,101500.0,petrol,manual,492000.0,8378
Jaguar,XF2.0L Diesel Prestige,2020,Bangalore,49000.0,diesel,automatic,3200000.0,55036
Hyundai,Elite i20Asta 1.4 CRDI (O),2016,Bangalore,61500.0,diesel,manual,646000.0,11001
Maruti,EstiloVXi BS-IV,2011,Bangalore,71000.0,petrol,manual,225000.0,16077
Hyundai,Elite i20Asta 1.4 CRDI,2015,Bangalore,82500.0,diesel,manual,542000.0,9865
Jeep,CompassModel S (O) 1.4 Petrol DCT,2021,Bangalore,12500.0,petrol,automatic,2050000.0,35256
Tata,NexonXZA Plus Dual Tone Roof AMT Diesel,2018,Bangalore,82500.0,diesel,automatic,770000.0,13112
Mercedes,GLC220d 4MATIC Style,2018,Bangalore,43500.0,diesel,automatic,3250000.0,55896
Tata,AltrozXM Plus Petrol,2022,Bangalore,17000.0,petrol,manual,664000.0,11307
Renault,Kwid1.0 RXT AMT,2017,Bangalore,33000.0,petrol,automatic,382000.0,6505
Maruti,CiazZXI+,2017,Bangalore,92500.0,petrol,manual,529000.0,9008
Nissan,MicraXV CVT,2014,Bangalore,79000.0,petrol,automatic,388000.0,7806
Hyundai,Elite i20Sportz Plus 1.2,2020,Bangalore,45000.0,petrol,manual,642000.0,10932
Hyundai,Elite i20Asta 1.2,2016,Bangalore,70000.0,petrol,manual,532000.0,9683
Datsun,GOT,2017,Bangalore,31000.0,petrol,manual,305000.0,6545
Hyundai,EonD-Lite +,2013,Bangalore,84000.0,petrol,manual,177000.0,4472
Jeep,CompassLimited (O) 2.0 Diesel 4x4 AT,2022,Bangalore,48500.0,diesel,automatic,2350000.0,40416
Hyundai,Grand i10 NiosAsta AMT 1.2 Kappa VTVT,2023,Bangalore,23500.0,petrol,automatic,793000.0,13504
Renault,KigerRXZ Turbo CVT,2021,Bangalore,38500.0,petrol,automatic,833000.0,14185
Mahindra,Scorpio NZ8 L Petrol AT 7 STR,2023,Bangalore,25000.0,petrol,automatic,2082000.0,35808
Hyundai,VernaFluidic 1.6 VTVT SX,2015,Bangalore,59500.0,petrol,manual,496000.0,10645
Maruti,Alto K10VXi,2011,Bangalore,49000.0,petrol,manual,242000.0,17291
Hyundai,Elite i20Sportz Plus 1.2,2019,Bangalore,26500.0,petrol,manual,656000.0,11171
Kia,SeltosGTX Plus 1.4,2020,Bangalore,113500.0,petrol,manual,1085000.0,18659
Maruti,CelerioZXi AMT,2015,Bangalore,39000.0,petrol,automatic,388000.0,7062
Mercedes,E-ClassE200 Expression,2018,Bangalore,35500.0,petrol,automatic,3500000.0,60196
Mercedes,C-ClassEdition C,2017,Bangalore,44000.0,diesel,automatic,2450000.0,42136
Volkswagen,PoloHighline1.5L (D),2014,Bangalore,114000.0,diesel,manual,429000.0,8631
Maruti,CelerioVXi AMT,2014,Bangalore,50000.0,petrol,automatic,346000.0,7425
Kia,SeltosGTX Plus DCT 1.4,2021,Bangalore,71500.0,petrol,automatic,1282000.0,22048
Renault,KwidRXT,2016,Bangalore,59000.0,petrol,manual,308000.0,5245
Renault,KwidRXT 1.0 AMT Opt,2020,Bangalore,35500.0,petrol,automatic,412000.0,7016
Tata,NexonXZ Petrol,2019,Bangalore,39500.0,petrol,manual,670000.0,11409
Hyundai,Elite i20Sportz Plus 1.2,2019,Bangalore,106500.0,petrol,manual,612000.0,10422
